City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Isla Vista,US,78.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
154,Khandyga,RU,77.95,overcast clouds,62.6667,135.6,Apel'sin
155,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
158,Maldonado,UY,66.22,broken clouds,-34.6667,-54.9167,La Cimarrona
159,Wakkanai,JP,76.98,scattered clouds,45.4094,141.6739,Hyōsetsu-sō
161,Jalu,LY,74.53,clear sky,29.0331,21.5482,صاحبة الفخامة
162,Bon Accord,CA,66.51,overcast clouds,53.8335,-113.4187,
164,Faanui,PF,78.3,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Bartica,GY,77.32,light rain,6.4,-58.6167,Sloth Island Nature Resort
167,Thunder Bay,CA,66.18,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
169,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
171,Teguldet,RU,78.84,few clouds,57.3064,88.1667,
172,Villanueva De La Serena,ES,78.1,clear sky,38.9766,-5.7974,Hotel Veracruz
173,Banepa,NP,73.72,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
178,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
183,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
184,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
185,Pangai,TO,76.73,few clouds,-19.8,-174.35,Ha'apai Beach Resort
186,Kaseda,JP,82.18,clear sky,31.4167,130.3167,Sun Stay Kaseda
188,Masuda,JP,80.87,scattered clouds,34.6667,131.85,Masuda Green Hotel Morris
190,Vao,NC,76.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
192,Bengkulu,ID,82.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Cabra,ES,75.65,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
201,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
202,Canguaretama,BR,73.0,scattered clouds,-6.38,-35.1289,Pousada do Italiano
203,Bonthe,SL,74.01,heavy intensity rain,7.5264,-12.505,Bonthe Holiday Village
204,Bowen,AU,66.49,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
207,Portland,US,77.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
212,Sao Filipe,CV,73.98,scattered clouds,14.8961,-24.4956,Hotel Xaguate
214,Ugento,IT,68.47,clear sky,39.9263,18.1574,Porta Paradiso
216,Poplar Bluff,US,78.58,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
217,Synya,RU,65.5,overcast clouds,65.3718,58.0387,
218,Fare,PF,78.17,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
219,Miyako,JP,74.95,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
221,Meadow Lake,US,78.28,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
224,Catania,IT,75.33,clear sky,37.5021,15.0872,Hotel NH Catania Parco Degli Aragonesi
225,Salalah,OM,77.09,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
226,Hobyo,SO,75.94,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
227,Poya,NC,82.42,overcast clouds,-21.35,165.15,
229,Hohhot,CN,79.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
231,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
232,Abdanan,IR,83.86,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
234,Myanaung,MM,80.94,overcast clouds,18.2833,95.3167,Taung Hlay Khar
236,Raga,SS,68.41,light rain,8.4596,25.678,
237,Katsuura,JP,78.53,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
238,Mazagao,BR,80.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
244,Garowe,SO,74.32,broken clouds,8.4054,48.4845,Curubo Hotel
245,Robertsport,LR,76.39,moderate rain,6.7533,-11.3686,Kwepunha Retreat
248,Bemidji,US,77.09,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
250,Yerbogachen,RU,69.75,clear sky,61.2767,108.0108,
252,Bafra,TR,72.82,moderate rain,41.5678,35.9069,Sevgi Otel
254,Diu,IN,81.5,overcast clouds,20.7141,70.9822,Hotel Relax Inn
