City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Hofn,IS,64.2539,-15.2082,49.78,97,100,8.88,overcast clouds
146,Khatanga,RU,71.9667,102.5,50.29,78,100,6.6,overcast clouds
147,Kolyvan,RU,55.3053,82.7391,71.22,57,13,9.37,few clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,89,3.0,overcast clouds
149,Marsa Matruh,EG,31.3525,27.2453,77.2,73,40,11.5,scattered clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,92.5,35,20,13.8,few clouds
151,Luderitz,NA,-26.6481,15.1594,55.53,88,51,2.98,light rain
152,Port Hardy,CA,50.6996,-127.4199,60.98,88,100,6.91,overcast clouds
153,Isla Vista,US,34.4133,-119.861,78.35,57,0,3.44,clear sky
154,Khandyga,RU,62.6667,135.6,77.95,46,91,5.5,overcast clouds
155,Isangel,VU,-19.55,169.2667,84.31,89,40,4.61,scattered clouds
156,Kahului,US,20.8947,-156.47,86.02,62,20,27.63,few clouds
157,Fort Nelson,CA,58.8053,-122.7002,60.39,77,75,11.5,broken clouds
158,Maldonado,UY,-34.6667,-54.9167,66.22,87,76,14.74,broken clouds
159,Wakkanai,JP,45.4094,141.6739,76.98,69,40,14.97,scattered clouds
160,Dikson,RU,73.5069,80.5464,32.74,96,96,7.96,overcast clouds
161,Jalu,LY,29.0331,21.5482,74.53,61,0,10.02,clear sky
162,Bon Accord,CA,53.8335,-113.4187,66.51,70,95,6.62,overcast clouds
163,Bendigo,AU,-36.7667,144.2833,59.86,51,0,5.01,clear sky
164,Faanui,PF,-16.4833,-151.75,78.3,72,68,18.79,broken clouds
165,Leshukonskoye,RU,64.8989,45.7622,63.77,59,99,2.57,overcast clouds
166,Bartica,GY,6.4,-58.6167,77.32,99,86,1.7,light rain
167,Thunder Bay,CA,48.4001,-89.3168,66.18,42,75,4.61,broken clouds
168,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,67,100,14.97,overcast clouds
