City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Jalu,LY,2022-07-05 02:23:00,29.0331,21.5482,77.58,38,0,7.94
110,Hilo,US,2022-07-05 02:19:59,19.7297,-155.09,82.27,76,100,5.75
111,Wanning,CN,2022-07-05 02:23:00,18.8003,110.3967,87.01,70,100,8.41
112,Sao Filipe,CV,2022-07-05 02:23:04,14.8961,-24.4956,74.1,79,8,5.1
113,Caronport,CA,2022-07-05 02:23:05,50.4501,-105.8179,59.18,78,71,12.68
114,Barcelos,PT,2022-07-05 02:23:05,41.5388,-8.6151,69.91,93,12,2.42
115,Mayma,RU,2022-07-05 02:23:05,52.0197,85.9114,70.74,49,54,3.44
116,Codrington,AU,2022-07-05 02:23:05,-38.2667,141.9667,58.57,58,88,9.55
117,Sanmenxia,CN,2022-07-05 02:23:09,34.7747,111.1814,89.89,50,13,8.75
118,Agadez,NE,2022-07-05 02:23:09,19.75,10.25,86.68,11,0,5.64
119,Kodiak,US,2022-07-05 02:21:35,57.79,-152.4072,60.31,77,100,0.0
120,Cabedelo,BR,2022-07-05 02:23:10,-6.9811,-34.8339,77.67,83,53,16.51
121,Hun,LY,2022-07-05 02:23:10,29.1268,15.9477,76.51,68,0,6.8
122,Kefamenanu,ID,2022-07-05 02:23:10,-9.4467,124.4781,73.47,73,89,10.29
123,Gladstone,AU,2022-07-05 02:23:11,-23.85,151.25,53.53,87,100,10.36
124,Moroni,KM,2022-07-05 02:23:11,-11.7022,43.2551,73.54,76,14,11.41
125,Jinxiang,CN,2022-07-05 02:23:11,27.4327,120.6062,85.32,77,99,16.78
126,Vyssi Brod,CZ,2022-07-05 02:23:12,48.616,14.3118,64.74,98,100,5.19
127,Jamestown,US,2022-07-05 02:23:12,42.097,-79.2353,73.04,69,0,5.75
128,Faanui,PF,2022-07-05 02:23:12,-16.4833,-151.75,79.34,72,6,8.1
129,Requena,ES,2022-07-05 02:23:12,39.4883,-1.1004,66.79,67,48,4.38
130,Maceio,BR,2022-07-05 02:23:13,-9.6658,-35.7353,74.64,78,40,8.05
131,Flinders,AU,2022-07-05 02:23:13,-34.5833,150.8552,57.18,88,100,5.99
