City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Izhma,RU,2022-06-28 06:05:15,65.0083,53.9113,51.44,47,85,14.7
107,Grand-Santi,GF,2022-06-28 06:05:15,4.25,-54.3833,72.18,100,100,2.89
108,Kirakira,SB,2022-06-28 06:05:15,-10.4544,161.9205,79.18,83,100,7.2
109,Chilmari,BD,2022-06-28 06:05:16,25.5559,89.6715,80.62,86,100,9.35
110,Hambantota,LK,2022-06-28 06:05:16,6.1241,81.1185,91.74,58,20,12.66
111,Svetlyy,RU,2022-06-28 06:05:16,54.675,20.1347,75.25,74,2,10.47
112,Beringovskiy,RU,2022-06-28 06:05:17,63.05,179.3167,51.06,76,84,16.04
113,Cheney,US,2022-06-28 06:05:17,47.4874,-117.5758,73.94,69,0,2.8
114,Souillac,MU,2022-06-28 06:02:47,-20.5167,57.5167,69.44,68,97,19.48
115,Oum Hadjer,TD,2022-06-28 06:05:17,13.2954,19.6966,82.85,58,93,12.68
116,Yichun,CN,2022-06-28 06:05:18,47.7,128.9,74.79,69,82,11.77
117,Porto Velho,BR,2022-06-28 06:05:18,-8.7619,-63.9039,69.85,94,0,0.0
118,Gornopravdinsk,RU,2022-06-28 06:05:18,60.05,69.9,57.96,49,98,8.77
119,Carnarvon,AU,2022-06-28 06:05:18,-24.8667,113.6333,74.37,30,0,15.79
120,Cap-Aux-Meules,CA,2022-06-28 06:05:19,47.3821,-61.8597,61.65,91,98,28.39
121,Castro,BR,2022-06-28 06:05:19,-24.7911,-50.0119,47.91,94,41,2.17
122,Kahului,US,2022-06-28 06:05:19,20.8947,-156.47,77.02,74,20,12.66
123,Pacific Grove,US,2022-06-28 06:05:20,36.6177,-121.9166,60.42,95,100,8.99
124,Boyolangu,ID,2022-06-28 06:05:20,-8.1181,111.8935,81.27,63,86,11.56
125,Kapoeta,SS,2022-06-28 06:05:20,4.7717,33.5903,81.12,41,97,17.96
126,Saint-Philippe,RE,2022-06-28 06:05:20,-21.3585,55.7679,72.99,69,85,15.5
127,Eastbourne,GB,2022-06-28 06:04:27,50.7687,0.2845,62.19,83,11,5.01
128,La Plata,AR,2022-06-28 06:01:12,-34.9215,-57.9545,50.04,67,100,6.2
129,Saint-Joseph,RE,2022-06-28 06:05:21,-21.3667,55.6167,71.98,69,72,13.94
130,Saint Paul,US,2022-06-28 06:01:21,44.9444,-93.0933,71.83,55,0,5.75
131,Pochutla,MX,2022-06-28 06:05:21,15.7432,-96.4661,76.82,92,16,4.29
132,Fortuna,US,2022-06-28 06:05:22,40.5982,-124.1573,56.93,88,17,1.99
133,Yulara,AU,2022-06-28 06:05:22,-25.2406,130.9889,62.89,29,99,11.52
134,Bilma,NE,2022-06-28 06:06:22,18.6853,12.9164,90.59,13,3,6.58
135,Kattivakkam,IN,2022-06-28 06:06:22,13.2167,80.3167,89.69,67,95,2.37
136,Lakselv,NO,2022-06-28 06:06:23,70.0513,24.9718,75.02,57,0,17.27
137,Nome,US,2022-06-28 06:06:23,64.5011,-165.4064,47.16,93,100,5.75
138,Casino,AU,2022-06-28 06:06:23,-28.8667,153.05,60.57,75,69,7.63
139,Lebu,CL,2022-06-28 06:01:53,-37.6167,-73.65,53.58,90,99,18.9
